"Time (s)","Illuminance (lx)"
6.969616000E-3,3.680000000E2
1.996076750E-1,3.600000000E2
2.993696380E-1,3.560000000E2
3.992231530E-1,3.600000000E2
6.986005950E-1,3.730000000E2
7.984846280E-1,3.920000000E2
8.981550380E-1,4.080000000E2
9.979780360E-1,4.120000000E2
1.297202890E0,4.070000000E2
1.396964853E0,3.990000000E2
1.736472909E0,3.930000000E2
2.475089853E0,3.870000000E2
2.574821298E0,3.820000000E2
2.674583261E0,3.620000000E2
2.874168222E0,3.700000000E2
2.973930185E0,3.760000000E2
3.073753183E0,3.840000000E2
3.273368661E0,4.100000000E2
3.971763437E0,4.070000000E2
4.071586435E0,4.050000000E2
4.570426767E0,4.070000000E2
4.670280282E0,4.100000000E2
5.867729013E0,4.070000000E2
5.967490976E0,4.050000000E2
6.067313974E0,4.000000000E2
6.167014902E0,3.950000000E2
6.366538827E0,3.940000000E2
6.665855234E0,3.950000000E2
6.965141122E0,3.960000000E2
7.264610116E0,3.970000000E2
7.364433114E0,3.980000000E2
7.464286630E0,4.000000000E2
7.564109628E0,4.020000000E2
8.362449472E0,4.040000000E2
8.462333505E0,4.060000000E2
8.562064950E0,4.080000000E2
8.961356943E0,4.050000000E2
9.061149423E0,4.010000000E2
9.160941903E0,3.990000000E2
9.560142343E0,4.030000000E2
9.659965341E0,4.060000000E2
9.759727304E0,4.080000000E2
1.015889723E1,4.040000000E2
1.025872022E1,3.990000000E2
1.035848219E1,3.960000000E2
1.075777418E1,3.980000000E2
1.085756666E1,4.000000000E2
1.095735914E1,4.020000000E2
1.325273878E1,4.000000000E2
1.335247022E1,3.990000000E2
1.345229322E1,3.970000000E2
1.385149366E1,3.990000000E2
1.395125562E1,4.010000000E2
1.405104811E1,4.030000000E2
1.415077955E1,4.050000000E2
1.425063307E1,4.080000000E2
1.435039503E1,4.110000000E2
1.445018751E1,4.130000000E2
1.455001051E1,4.140000000E2
1.484932691E1,4.130000000E2
1.494908888E1,4.110000000E2
1.504891187E1,4.100000000E2
1.514870436E1,4.070000000E2
1.524852735E1,4.020000000E2
1.534825880E1,3.970000000E2
1.544805128E1,3.910000000E2
1.554781324E1,3.890000000E2
1.574736768E1,3.870000000E2
1.584712965E1,3.850000000E2
1.604671461E1,3.820000000E2
1.614641554E1,3.760000000E2
