"Time (s)","Illuminance (lx)"
6.888308000E-3,3.290000000E2
9.443267400E-2,3.040000000E2
1.941946360E-1,2.960000000E2
3.938101150E-1,3.130000000E2
4.936331130E-1,3.220000000E2
5.934255940E-1,3.370000000E2
6.932791090E-1,3.520000000E2
7.930105540E-1,3.700000000E2
8.928030350E-1,3.900000000E2
9.926260330E-1,4.030000000E2
1.092418513E0,4.110000000E2
1.192149959E0,4.170000000E2
1.291972957E0,4.220000000E2
1.391826472E0,4.260000000E2
1.691081844E0,4.270000000E2
1.790874324E0,4.260000000E2
1.890636287E0,4.250000000E2
1.990367732E0,4.240000000E2
2.090129695E0,4.230000000E2
2.189952693E0,4.220000000E2
2.289745174E0,4.210000000E2
2.389476619E0,4.200000000E2
2.489360652E0,4.190000000E2
2.688945613E0,4.180000000E2
2.788738094E0,4.170000000E2
3.387645564E0,4.180000000E2
3.487499080E0,4.190000000E2
3.587230525E0,4.200000000E2
3.687053523E0,4.210000000E2
3.786846004E0,4.220000000E2
3.886730037E0,4.230000000E2
3.986522517E0,4.240000000E2
4.086345515E0,4.250000000E2
5.084453426E0,4.230000000E2
5.184276424E0,4.220000000E2
5.284038386E0,4.210000000E2
5.383922420E0,4.180000000E2
5.483806453E0,4.160000000E2
5.583537898E0,4.150000000E2
5.982738338E0,4.160000000E2
6.082561336E0,4.190000000E2
6.182323299E0,4.200000000E2
6.282115779E0,4.210000000E2
6.381938777E0,4.220000000E2
6.481639705E0,4.230000000E2
6.581401668E0,4.240000000E2
6.681194148E0,4.250000000E2
6.780986629E0,4.270000000E2
7.180095515E0,4.260000000E2
7.279826961E0,4.250000000E2
7.379649959E0,4.240000000E2
7.479442439E0,4.230000000E2
7.579234920E0,4.220000000E2
7.878642879E0,4.210000000E2
7.978404842E0,4.220000000E2
8.177989802E0,4.210000000E2
8.477367244E0,4.190000000E2
8.577159724E0,4.170000000E2
8.677013240E0,4.150000000E2
8.976512752E0,4.160000000E2
9.076366267E0,4.190000000E2
9.176128230E0,4.220000000E2
9.275920711E0,4.230000000E2
9.575389705E0,4.220000000E2
9.675182185E0,4.200000000E2
9.775005183E0,4.170000000E2
9.874828181E0,4.160000000E2
9.974590144E0,4.150000000E2
1.007444366E1,4.140000000E2
1.047367462E1,4.150000000E2
1.057346710E1,4.160000000E2
1.067325958E1,4.190000000E2
1.077305206E1,4.220000000E2
1.087287506E1,4.230000000E2
1.207069000E1,4.220000000E2
1.217054351E1,4.210000000E2
1.276942047E1,4.230000000E2
1.286921295E1,4.240000000E2
1.336823639E1,4.230000000E2
1.376743682E1,4.250000000E2
1.406690582E1,4.240000000E2
1.416672882E1,4.190000000E2
