"Time (s)","Illuminance (lx)"
4.010770000E-3,6.730000000E2
2.875751500E-2,6.660000000E2
1.285499950E-1,6.620000000E2
4.279579540E-1,6.650000000E2
5.277809520E-1,6.730000000E2
6.276955030E-1,6.880000000E2
7.274574660E-1,7.060000000E2
8.272194290E-1,7.200000000E2
9.270729450E-1,7.290000000E2
1.027018013E0,7.340000000E2
1.126779976E0,7.380000000E2
1.226633491E0,7.410000000E2
1.326456490E0,7.430000000E2
1.725595894E0,7.420000000E2
1.825449409E0,7.390000000E2
1.925180855E0,7.350000000E2
2.024973335E0,7.330000000E2
2.124826851E0,7.310000000E2
2.524088325E0,7.300000000E2
2.723642769E0,7.290000000E2
2.823435249E0,7.270000000E2
2.923197212E0,7.260000000E2
3.023081245E0,7.240000000E2
3.122782173E0,7.230000000E2
3.322367134E0,7.220000000E2
3.422251167E0,7.210000000E2
3.521921577E0,7.200000000E2
3.621775093E0,7.180000000E2
3.721567574E0,7.160000000E2
3.821390572E0,7.150000000E2
9.610056343E0,7.140000000E2
9.709787788E0,7.130000000E2
9.809610786E0,7.120000000E2
9.909372749E0,7.100000000E2
1.000913471E1,7.080000000E2
1.010886616E1,7.070000000E2
1.030842060E1,7.060000000E2
1.070777363E1,7.070000000E2
1.090741962E1,7.060000000E2
1.130665058E1,7.050000000E2
1.170582050E1,7.060000000E2
1.190543598E1,7.070000000E2
1.240445942E1,7.060000000E2
1.300330586E1,7.070000000E2
1.360209126E1,7.080000000E2
1.370185322E1,7.100000000E2
1.380173725E1,7.110000000E2
1.410105366E1,7.100000000E2
1.420093769E1,7.060000000E2
1.430063862E1,7.000000000E2
1.440049213E1,6.930000000E2
1.450034565E1,6.870000000E2
