"Time (s)","Illuminance (lx)"
3.125154000E-3,3.710000000E2
1.280678320E-1,3.670000000E2
2.279518650E-1,3.600000000E2
3.277748630E-1,3.200000000E2
4.275673430E-1,3.000000000E2
5.273903410E-1,2.940000000E2
6.272133390E-1,2.910000000E2
9.266212980E-1,3.200000000E2
1.026474814E0,3.300000000E2
1.325913291E0,3.320000000E2
1.425736289E0,3.370000000E2
1.525589804E0,3.430000000E2
1.625443320E0,3.500000000E2
1.725174765E0,3.550000000E2
1.824997763E0,3.580000000E2
2.224289755E0,3.560000000E2
2.324082236E0,3.540000000E2
2.423844199E0,3.520000000E2
2.723282675E0,3.530000000E2
2.823075156E0,3.570000000E2
2.922898154E0,3.580000000E2
3.222275595E0,3.600000000E2
3.321946005E0,3.610000000E2
3.721115927E0,3.620000000E2
4.020493369E0,3.590000000E2
4.120255332E0,3.520000000E2
4.220108847E0,3.450000000E2
4.319870810E0,3.410000000E2
4.419602255E0,3.390000000E2
4.718979697E0,3.360000000E2
4.918473105E0,3.380000000E2
5.118149619E0,3.370000000E2
5.417435507E0,3.350000000E2
5.617112021E0,3.370000000E2
6.116165976E0,3.380000000E2
6.215988974E0,3.400000000E2
6.315811972E0,3.440000000E2
6.415573935E0,3.470000000E2
6.515305380E0,3.510000000E2
6.615158896E0,3.540000000E2
6.714951376E0,3.560000000E2
6.814743857E0,3.580000000E2
7.213816196E0,3.550000000E2
7.313517124E0,3.510000000E2
7.413279087E0,3.470000000E2
7.513041050E0,3.450000000E2
7.912210972E0,3.480000000E2
8.011972934E0,3.520000000E2
8.111856968E0,3.550000000E2
8.211618931E0,3.570000000E2
