"Time (s)","Illuminance (lx)"
3.623038000E-3,1.062000000E3
9.749521400E-2,1.066000000E3
1.973487290E-1,1.074000000E3
2.971412100E-1,1.081000000E3
5.964270990E-1,1.080000000E3
6.961585440E-1,1.069000000E3
7.958899890E-1,1.059000000E3
8.955909170E-1,1.052000000E3
9.954444330E-1,1.048000000E3
1.095145360E0,1.045000000E3
1.194968358E0,1.041000000E3
1.277793065E0,1.039000000E3
1.377555028E0,1.032000000E3
1.477316991E0,1.017000000E3
1.577139989E0,1.001000000E3
1.676901952E0,9.890000000E2
1.776694433E0,9.830000000E2
1.876395360E0,9.820000000E2
2.474906103E0,9.810000000E2
2.574668065E0,9.790000000E2
2.973715917E0,9.810000000E2
3.073538915E0,9.850000000E2
3.173300878E0,9.900000000E2
3.273093358E0,9.940000000E2
3.372824804E0,9.990000000E2
3.472617284E0,1.006000000E3
3.572379247E0,1.016000000E3
3.672110692E0,1.028000000E3
3.771903173E0,1.037000000E3
3.854727880E0,1.042000000E3
3.954489843E0,1.044000000E3
4.054221288E0,1.046000000E3
4.154013769E0,1.047000000E3
4.253806249E0,1.048000000E3
4.353629247E0,1.050000000E3
4.453482763E0,1.052000000E3
4.553275243E0,1.053000000E3
4.835623876E0,1.050000000E3
4.935355321E0,1.043000000E3
5.018210546E0,1.036000000E3
5.117972509E0,1.031000000E3
5.217673437E0,1.029000000E3
5.317435399E0,1.028000000E3
5.616904394E0,1.027000000E3
5.916220800E0,1.026000000E3
6.015921728E0,1.025000000E3
6.115775243E0,1.024000000E3
7.395896093E0,1.025000000E3
7.495688573E0,1.028000000E3
7.595481054E0,1.033000000E3
7.695273534E0,1.040000000E3
