"Time (s)","Illuminance (lx)"
3.475231000E-3,4.259000000E3
7.309282000E-3,4.299000000E3
4.716523900E-2,4.287000000E3
6.715425300E-2,4.294000000E3
8.714326600E-2,4.255000000E3
1.071017630E-1,4.233000000E3
1.270297410E-1,4.201000000E3
1.470187550E-1,4.194000000E3
1.669772510E-1,4.190000000E3
1.869357470E-1,4.198000000E3
2.268527390E-1,4.199000000E3
2.668002490E-1,4.195000000E3
3.067477590E-1,4.187000000E3
3.267367720E-1,4.180000000E3
3.466952680E-1,4.170000000E3
3.666232470E-1,4.176000000E3
3.865817430E-1,4.162000000E3
4.065402390E-1,4.159000000E3
4.264987350E-1,4.139000000E3
4.464267140E-1,4.137000000E3
4.664157270E-1,4.148000000E3
4.864047410E-1,4.153000000E3
5.063327200E-1,4.142000000E3
5.462802290E-1,4.145000000E3
5.662387250E-1,4.135000000E3
5.861667040E-1,4.148000000E3
6.061252000E-1,4.138000000E3
6.261447310E-1,4.135000000E3
6.460727100E-1,4.116000000E3
6.660617240E-1,4.131000000E3
6.859897020E-1,4.121000000E3
7.259372120E-1,4.131000000E3
8.057711960E-1,4.135000000E3
8.257296920E-1,4.125000000E3
8.456576710E-1,4.139000000E3
8.656161670E-1,4.135000000E3
8.856051810E-1,4.131000000E3
9.055636770E-1,4.116000000E3
9.255221730E-1,4.125000000E3
9.455111860E-1,4.115000000E3
9.654696820E-1,4.121000000E3
9.854586960E-1,4.135000000E3
1.005386675E0,4.121000000E3
1.045334184E0,4.112000000E3
1.065292681E0,4.116000000E3
1.085220659E0,4.112000000E3
1.105179155E0,4.126000000E3
1.125137651E0,4.112000000E3
1.185074175E0,4.116000000E3
1.205032671E0,4.115000000E3
1.224991167E0,4.121000000E3
1.244919145E0,4.135000000E3
1.264908159E0,4.116000000E3
1.284866655E0,4.111000000E3
1.304825151E0,4.096000000E3
1.324753130E0,4.115000000E3
1.344742143E0,4.105000000E3
1.364700640E0,4.125000000E3
1.384659136E0,4.105000000E3
1.424545610E0,4.111000000E3
1.464462602E0,4.109000000E3
1.504440630E0,4.129000000E3
1.524399126E0,4.109000000E3
1.544357622E0,4.111000000E3
1.564316118E0,4.092000000E3
1.584305132E0,4.096000000E3
1.604263628E0,4.095000000E3
1.624252641E0,4.115000000E3
1.644180620E0,4.095000000E3
1.664169634E0,4.085000000E3
1.684097612E0,4.092000000E3
1.723984087E0,4.091000000E3
