"Time (s)","Illuminance (lx)"
3.570461000E-3,3.690000000E2
1.988993300E-2,3.610000000E2
1.196518960E-1,3.560000000E2
2.195359290E-1,3.530000000E2
3.192368570E-1,3.460000000E2
4.190903720E-1,3.410000000E2
7.184983310E-1,3.400000000E2
9.180832920E-1,3.440000000E2
1.017906290E0,3.490000000E2
1.117637736E0,3.510000000E2
1.217399698E0,3.550000000E2
1.317192179E0,3.610000000E2
1.416984659E0,3.670000000E2
1.996055704E0,3.760000000E2
2.095878702E0,3.810000000E2
2.594657999E0,3.740000000E2
2.694450480E0,3.490000000E2
2.777275187E0,3.480000000E2
2.877067667E0,3.460000000E2
2.976860148E0,3.540000000E2
3.276237589E0,3.780000000E2
3.575676066E0,3.800000000E2
3.675529581E0,3.830000000E2
3.775352579E0,3.860000000E2
3.875114542E0,3.880000000E2
4.074607950E0,3.900000000E2
4.174430948E0,3.910000000E2
4.274223429E0,3.920000000E2
4.373985392E0,3.910000000E2
4.473808390E0,3.890000000E2
4.573600870E0,3.880000000E2
4.673423868E0,3.870000000E2
4.773094278E0,3.840000000E2
4.872856241E0,3.800000000E2
4.972587687E0,3.760000000E2
5.072288614E0,3.740000000E2
5.371650559E0,3.730000000E2
5.471320970E0,3.710000000E2
5.571082932E0,3.680000000E2
5.670966966E0,3.650000000E2
5.770728929E0,3.630000000E2
5.870521409E0,3.620000000E2
6.668922288E0,3.630000000E2
6.768714768E0,3.650000000E2
6.868537766E0,3.690000000E2
6.968360764E0,3.700000000E2
7.367622239E0,3.690000000E2
7.467353684E0,3.650000000E2
7.567146165E0,3.630000000E2
7.666908128E0,3.620000000E2
7.966163499E0,3.630000000E2
8.065955979E0,3.650000000E2
8.165748460E0,3.670000000E2
8.265479905E0,3.700000000E2
8.365272386E0,3.720000000E2
8.465064866E0,3.740000000E2
9.263526780E0,3.760000000E2
9.363319261E0,3.810000000E2
9.463203294E0,3.840000000E2
9.562965257E0,3.880000000E2
