"Time (s)","Illuminance (lx)"
3.482385000E-3,6.900000000E2
5.054240400E-2,6.990000000E2
1.503348840E-1,7.080000000E2
2.501578820E-1,7.100000000E2
5.495353240E-1,7.060000000E2
6.493888390E-1,6.960000000E2
7.491813200E-1,6.810000000E2
8.489127650E-1,6.680000000E2
9.487357630E-1,6.600000000E2
1.048467208E0,6.560000000E2
1.247991134E0,6.550000000E2
1.347783615E0,6.530000000E2
1.447637130E0,6.510000000E2
1.547521163E0,6.470000000E2
1.647313644E0,6.440000000E2
1.747075607E0,6.430000000E2
2.046483566E0,6.440000000E2
2.146184493E0,6.470000000E2
2.245976974E0,6.520000000E2
2.345799972E0,6.550000000E2
2.445531417E0,6.560000000E2
6.536229659E0,6.570000000E2
6.636052658E0,6.590000000E2
6.735784103E0,6.610000000E2
6.835485031E0,6.630000000E2
6.935277511E0,6.650000000E2
7.035039474E0,6.690000000E2
7.134831954E0,6.730000000E2
7.234532882E0,6.780000000E2
7.334325363E0,6.820000000E2
7.434117843E0,6.840000000E2
7.833196212E0,6.830000000E2
7.933019210E0,6.810000000E2
8.032842208E0,6.800000000E2
8.232488204E0,6.790000000E2
8.332250167E0,6.780000000E2
8.432073165E0,6.770000000E2
8.931066085E0,6.790000000E2
9.030828048E0,6.810000000E2
9.130590011E0,6.850000000E2
9.230443527E0,6.900000000E2
9.330236007E0,6.980000000E2
9.413152267E0,7.060000000E2
