"Time (s)","Illuminance (lx)"
3.349038000E-3,5.670000000E2
5.729623200E-2,5.680000000E2
1.570581950E-1,5.660000000E2
3.566126380E-1,5.680000000E2
4.563440840E-1,5.670000000E2
7.555689370E-1,5.650000000E2
8.553003820E-1,5.630000000E2
1.054763273E0,5.610000000E2
1.154586271E0,5.590000000E2
1.254348234E0,5.570000000E2
1.354049162E0,5.550000000E2
1.453811125E0,5.540000000E2
1.852797941E0,5.530000000E2
1.952468351E0,5.520000000E2
2.052291349E0,5.510000000E2
2.152083830E0,5.490000000E2
2.251754240E0,5.480000000E2
2.451156095E0,5.470000000E2
2.650649503E0,5.450000000E2
2.750350431E0,5.430000000E2
2.850142912E0,5.410000000E2
2.949965910E0,5.390000000E2
3.349166349E0,5.410000000E2
3.449019865E0,5.450000000E2
3.548781828E0,5.490000000E2
3.648482755E0,5.540000000E2
3.848098234E0,5.530000000E2
4.047622160E0,5.510000000E2
4.147384123E0,5.480000000E2
4.247115568E0,5.460000000E2
4.745894865E0,5.470000000E2
4.845626310E0,5.490000000E2
4.945388273E0,5.510000000E2
5.045150236E0,5.520000000E2
5.344558195E0,5.500000000E2
5.444289640E0,5.480000000E2
5.544051603E0,5.440000000E2
5.643813566E0,5.400000000E2
5.743606046E0,5.380000000E2
5.943129972E0,5.370000000E2
6.342086271E0,5.380000000E2
6.441817716E0,5.400000000E2
6.541640714E0,5.420000000E2
6.741103605E0,5.440000000E2
6.940627531E0,5.460000000E2
7.040420011E0,5.490000000E2
7.140151457E0,5.510000000E2
7.239913420E0,5.540000000E2
7.339705900E0,5.570000000E2
7.439437345E0,5.620000000E2
7.539229826E0,5.660000000E2
7.638930753E0,5.690000000E2
7.738753752E0,5.700000000E2
8.736617521E0,5.710000000E2
8.836379484E0,5.740000000E2
8.936202482E0,5.780000000E2
