"Time (s)","Illuminance (lx)"
1.038469200E-2,3.661000000E3
1.457028200E-2,3.736000000E3
5.442623900E-2,3.794000000E3
7.441525300E-2,3.824000000E3
9.443478400E-2,3.844000000E3
1.143322450E-1,3.806000000E3
1.743298040E-1,3.835000000E3
2.142467960E-1,3.843000000E3
2.342052920E-1,3.847000000E3
2.940807800E-1,3.837000000E3
3.140697940E-1,3.835000000E3
3.341198430E-1,3.825000000E3
3.540173040E-1,3.826000000E3
3.739758000E-1,3.817000000E3
4.139538270E-1,3.809000000E3
4.338512880E-1,3.817000000E3
4.538403020E-1,3.815000000E3
4.938183290E-1,3.817000000E3
5.337048040E-1,3.815000000E3
5.736828310E-1,3.824000000E3
5.935802920E-1,3.815000000E3
6.135387880E-1,3.817000000E3
6.335278020E-1,3.810000000E3
6.535778510E-1,3.817000000E3
6.735058290E-1,3.815000000E3
6.934643250E-1,3.824000000E3
7.134228210E-1,3.815000000E3
7.533398140E-1,3.817000000E3
7.733288270E-1,3.815000000E3
7.932873230E-1,3.814000000E3
8.332043160E-1,3.822000000E3
8.531933290E-1,3.814000000E3
8.731518250E-1,3.815000000E3
8.931713570E-1,3.807000000E3
9.130993350E-1,3.814000000E3
9.530773620E-1,3.822000000E3
9.730968940E-1,3.814000000E3
1.012983368E0,3.815000000E3
1.032941864E0,3.814000000E3
1.072919892E0,3.813000000E3
1.092878388E0,3.815000000E3
1.112867402E0,3.807000000E3
1.132886933E0,3.809000000E3
1.152784394E0,3.807000000E3
1.212781952E0,3.815000000E3
1.232679413E0,3.807000000E3
1.252668427E0,3.813000000E3
1.272626923E0,3.814000000E3
1.292676972E0,3.813000000E3
1.352491425E0,3.821000000E3
1.372510956E0,3.813000000E3
1.392408417E0,3.814000000E3
1.412366913E0,3.807000000E3
1.432355927E0,3.813000000E3
1.472272919E0,3.821000000E3
1.492261933E0,3.814000000E3
1.532270478E0,3.815000000E3
1.552167939E0,3.814000000E3
1.612165497E0,3.822000000E3
1.632062958E0,3.814000000E3
1.652021454E0,3.815000000E3
1.671979950E0,3.807000000E3
1.692029999E0,3.814000000E3
1.751905487E0,3.799000000E3
1.771925019E0,3.791000000E3
1.791822480E0,3.782000000E3
1.811811493E0,3.764000000E3
1.831769989E0,3.749000000E3
1.851789521E0,3.748000000E3
1.891645478E0,3.734000000E3
1.911634491E0,3.748000000E3
1.931654023E0,3.746000000E3
1.951551484E0,3.748000000E3
1.971540497E0,3.760000000E3
1.991498993E0,3.779000000E3
2.011518525E0,3.784000000E3
2.031446503E0,3.792000000E3
2.071394013E0,3.784000000E3
2.091413544E0,3.780000000E3
2.131300019E0,3.789000000E3
2.151258515E0,3.776000000E3
2.171278046E0,3.780000000E3
2.191206025E0,3.766000000E3
2.211164521E0,3.780000000E3
2.231123017E0,3.774000000E3
2.251173066E0,3.793000000E3
2.271070527E0,3.785000000E3
2.291029023E0,3.792000000E3
2.310987519E0,3.798000000E3
2.331007050E0,3.778000000E3
2.390882538E0,3.790000000E3
2.410932587E0,3.783000000E3
2.430830048E0,3.792000000E3
2.450788544E0,3.778000000E3
2.470777558E0,3.785000000E3
2.510694550E0,3.798000000E3
2.530653046E0,3.791000000E3
2.570661591E0,3.792000000E3
2.590559052E0,3.778000000E3
2.610548066E0,3.792000000E3
2.630506562E0,3.790000000E3
2.650526093E0,3.799000000E3
2.670423554E0,3.792000000E3
2.690382050E0,3.800000000E3
2.710371064E0,3.792000000E3
2.730390595E0,3.799000000E3
2.770246552E0,3.798000000E3
2.790235566E0,3.791000000E3
2.830213593E0,3.785000000E3
2.850172089E0,3.771000000E3
2.870130585E0,3.785000000E3
2.890150116E0,3.784000000E3
2.910047577E0,3.798000000E3
2.930006073E0,3.791000000E3
2.949995087E0,3.799000000E3
2.970014618E0,3.785000000E3
2.989942597E0,3.799000000E3
3.029859589E0,3.798000000E3
3.049879120E0,3.791000000E3
3.089735077E0,3.792000000E3
3.109724091E0,3.778000000E3
3.129743622E0,3.792000000E3
3.149671601E0,3.790000000E3
3.169630097E0,3.799000000E3
3.189588593E0,3.792000000E3
3.209608124E0,3.800000000E3
3.229505585E0,3.792000000E3
3.249464081E0,3.799000000E3
3.289472626E0,3.798000000E3
3.309370087E0,3.799000000E3
3.349348114E0,3.807000000E3
3.369367646E0,3.793000000E3
3.389265107E0,3.813000000E3
3.409223603E0,3.811000000E3
3.429182099E0,3.813000000E3
3.469099091E0,3.819000000E3
3.489057587E0,3.805000000E3
3.509046601E0,3.813000000E3
3.548963593E0,3.811000000E3
3.568952607E0,3.806000000E3
3.588911103E0,3.813000000E3
3.628889130E0,3.799000000E3
3.648847626E0,3.813000000E3
3.668806122E0,3.805000000E3
3.688825654E0,3.813000000E3
3.708723114E0,3.800000000E3
3.748640107E0,3.792000000E3
3.768659638E0,3.799000000E3
3.808546112E0,3.798000000E3
3.828504609E0,3.799000000E3
3.868452118E0,3.800000000E3
3.888441132E0,3.792000000E3
3.908399628E0,3.800000000E3
3.948316620E0,3.808000000E3
3.968275116E0,3.802000000E3
3.988233612E0,3.806000000E3
4.008253144E0,3.805000000E3
4.028150605E0,3.819000000E3
4.068067597E0,3.813000000E3
4.088117646E0,3.808000000E3
4.108015107E0,3.814000000E3
4.147932099E0,3.807000000E3
4.167951630E0,3.814000000E3
4.187849091E0,3.813000000E3
4.207807587E0,3.814000000E3
4.227766083E0,3.813000000E3
4.247785614E0,3.819000000E3
4.267683075E0,3.811000000E3
4.287672089E0,3.819000000E3
4.327650116E0,3.813000000E3
4.347547577E0,3.808000000E3
4.367536591E0,3.814000000E3
4.407514618E0,3.807000000E3
4.427412079E0,3.820000000E3
4.447370575E0,3.808000000E3
4.467329071E0,3.816000000E3
4.487379120E0,3.814000000E3
4.507307099E0,3.827000000E3
4.527265595E0,3.813000000E3
4.547224091E0,3.821000000E3
4.587171601E0,3.814000000E3
4.607130097E0,3.821000000E3
4.667066620E0,3.813000000E3
4.687025116E0,3.821000000E3
4.706983612E0,3.813000000E3
4.727003144E0,3.821000000E3
4.746900605E0,3.819000000E3
4.766859101E0,3.820000000E3
4.786848114E0,3.811000000E3
4.806867646E0,3.820000000E3
4.826765107E0,3.812000000E3
4.846754120E0,3.805000000E3
4.866743134E0,3.821000000E3
4.926649140E0,3.813000000E3
4.946638154E0,3.821000000E3
4.966688202E0,3.807000000E3
4.986585663E0,3.814000000E3
5.006574677E0,3.807000000E3
5.046583222E0,3.799000000E3
5.066511200E0,3.807000000E3
5.086500214E0,3.800000000E3
5.106489228E0,3.799000000E3
5.126539277E0,3.813000000E3
5.146467255E0,3.819000000E3
5.186384247E0,3.811000000E3
5.206403779E0,3.819000000E3
5.226301239E0,3.799000000E3
5.246290253E0,3.813000000E3
5.266248749E0,3.794000000E3
5.286298798E0,3.800000000E3
5.306196259E0,3.793000000E3
5.326154755E0,3.806000000E3
5.366163300E0,3.794000000E3
5.386091279E0,3.808000000E3
5.406080292E0,3.794000000E3
5.426069306E0,3.807000000E3
5.446088837E0,3.799000000E3
5.465986298E0,3.800000000E3
5.485975312E0,3.786000000E3
5.505964325E0,3.800000000E3
5.526014374E0,3.786000000E3
5.545942353E0,3.793000000E3
5.565931366E0,3.805000000E3
5.585920380E0,3.813000000E3
5.605970429E0,3.807000000E3
5.625867890E0,3.805000000E3
5.645826386E0,3.819000000E3
5.665784882E0,3.799000000E3
5.685804413E0,3.811000000E3
5.705701874E0,3.799000000E3
5.725660370E0,3.805000000E3
5.745618866E0,3.786000000E3
5.765638398E0,3.805000000E3
5.785535859E0,3.786000000E3
5.805524872E0,3.793000000E3
5.825483368E0,3.805000000E3
5.845502900E0,3.819000000E3
5.865400361E0,3.813000000E3
5.885358857E0,3.800000000E3
5.905347870E0,3.814000000E3
5.925367402E0,3.794000000E3
5.945264862E0,3.807000000E3
5.965253876E0,3.799000000E3
5.985212372E0,3.800000000E3
6.005231904E0,3.786000000E3
6.025129364E0,3.800000000E3
6.045087861E0,3.786000000E3
6.085065888E0,3.799000000E3
6.104963349E0,3.793000000E3
6.124921845E0,3.786000000E3
